Site,Category,Google hits,FB likes,Twitter,political alignment
Occupy Democrats,clickbait  ,"1,960,000.00","4,650,122","18,800",left
One America News Network,clickbait  ,"188,000.00","113,021","50,100",right
Online Conservative Press,conspiracy  ,"48,800,000.00","162,617",0,Unknow
Opposing Views,clickbait  ,"4,200,000.00","3,765,123","38,500",left
Pak Alert Press,conspiracy  ,"97,300.00","87,817","9,057",Unknow
Patriot Update,conspiracy  ,"489,000.00","271,863","21,600",Unknow
Personal Liberty,clickbait  ,"1,700,000.00","1,200,000","4,600",right
PJ Media,clickbait  ,"784,000.00","349,000","50,200",right
PM Nightly News,clickbait  ,"10,600.00","5,622","1,385",right
Policy Review,clickbait  ,"3,590,000.00",0,204,right
Political Ears,clickbait  ,"20,600.00","770,000",25,right
Political Insider,clickbait  ,"1,280,000.00","2,753,210","30,700",right
Political Updater,clickbait  ,801,"998,097",0,left
PoliticalBlindSpot,clickbait  ,"31,300.00","24,658",903,left
Politichicks,clickbait  ,"128,000.00","149,131","17,300",right
PoliticusUSA,clickbait  ,"705,000.00","648,216","50,600",left
Power Line,clickbait  ,"20,400,000.00","9,863","6,890",right
Pravda Report,clickbait  ,"229,000.00","63,619","20,400",left
PrisonPlanet.com,conspiracy  ,"1,210,000.00","23,371","378,000",Unknow
Prntly,clickbait  ,"39,900.00","92,349",726,right
Pro-America News,clickbait  ,"553,000.00","297,437",0,right
Progressives Today,clickbait  ,"61,100.00","2,618","10,000",right
ProjectVeritas,clickbait  ,"4,590,000.00","128,633","83,500",right
Prophecy Today,conspiracy  ,"80,500.00","11,343","1,908",Unknow
Proud Conservative,clickbait  ,"251,000.00","655,689",0,right
Proud Democrat,clickbait  ,"17,800,000.00","545,470",0,left
Raw Story,clickbait  ,"1,580,000.00","758,151","109,000",left
React 365,fake news,"16,200.00",0,0,none
Reagan Coalition,clickbait  ,"111,000.00","253,388","44,700",right
Real Time Politics,clickbait  ,"51,400.00","998,200","83,100",left
RealFarmacy,junk science,"671,000.00","859,946","2,278",none
RealNewsRightNow,satire ,"11,500.00","1,559",499,none
Red Flag News,conspiracy  ,"393,000.00","274,221","11,100",Unknow
Red Pepper,clickbait  ,"21,100,000.00","12,909",0,left
Red State ,,"1,330,000.00","533,264","182,000",right
Red State Watcher,clickbait  ,"106,000.00","533,261",568,right
Reductress ,satire ,"134,000.00","109,274","66,300",none
Regated News,clickbait  ,768,960,"16,500",right
Rense,conspiracy  ,"4,030,000.00",316,260,Unknow
Reverb Press,clickbait  ,"268,000.00","638,740","16,500",left
Revolution News,clickbait  ,"537,000.00","1,092,256","46,000",left
Rewire,clickbait  ,"4,010,000.00","15,000",255,left
Right Wing News,clickbait  ,"808,000.00","3,420,732","112,000",right
Right Wing Watch,clickbait  ,"343,000.00","135,336","45,000",left
RileNews,satire ,"1,390.00",370,7,none
Ring of Fire,clickbait  ,"12,000,000.00","200,356","27,400",left
RockCityTimes,satire ,"14,600.00","13,781","3,058",left
Satira Tribune,fake news,"11,800.00","30,418",924,left
SCEPCOP (Debunking Skeptics),conspiracy  ,"7,690.00",0,30,Unknow
Secrets of the Fed,conspiracy  ,"3,530,000.00","19,832","2,944",Unknow
Shareblue,clickbait  ,"399,000.00","1,037,911","23,500",left
Sheep Killers,conspiracy  ,"5,180.00",0,0,Unknow
Shoebat,conspiracy  ,"545,000.00","49,000","28,700",Unknow
Silence is Consent,clickbait  ,"92,400.00","581,241","2,888",right
Skeptiko,conspiracy  ,"60,600.00","3,361","1,304",Unknow
Socialist Standard,clickbait  ,"44,200.00",0,0,left
SourceWatch,clickbait  ,"2,230,000.00",0,625,left
South Front,conspiracy  ,"1,620,000.00","42,388","7,359",Unknow
Storm Clouds Gathering,conspiracy  ,"309,000.00","320,227","27,100",Unknow
Supreme Patriot,clickbait  ,"149,000.00","598,953",53,right
Sure News,clickbait  ,"96,000.00","56,418",136,right
Sustainable Pulse,conspiracy  ,"52,900.00","28,010","2,769",Unknow
TakePart,clickbait  ,"80,000,000.00","681,116","96,500",left
Talking Points Memo,clickbait  ,"1,660,000.00","408,279","230,000",left
TD Newswire,clickbait  ,"399,000.00","126,710",0,right
Tea Party News (TPNN),clickbait  ,"181,000.00","1,368,926","20,100",right
Tea Party Tribune,clickbait  ,"54,400.00","14,282","3,448",right
Tell Me Now,clickbait  ,"1,250,000.00","2,252,870","1,900",right
The Advocate,clickbait  ,"906,000.00","443,630","217,000",left
The American Cause,clickbait  ,"164,000.00",0,29,right
